feature,mean,scale
C_Cnt,159.088802307342,66.74959992627518
E_Cnt,70.04128927794363,29.664631315044033
F_Cnt,133.82894803420533,57.61629778562806
J_Cnt,56.57711379851237,25.608902350585723
X_Cnt,7.210544957749329,6.161794667694894
char_Cnt,431.7478874664778,184.2609653238271
word_Cnt,151.47766027424987,65.0735511867891
E_NDW,70.04128927794363,29.664631315044033
morph_NDW,137.3955371148105,46.753148108838694
morph_LenAvg,1.5396115436832547,0.08106471352218013
morph_LenStd,0.7324213812234764,0.07533168401063035
word_LenStd,1.4351642716826483,0.5343224927737383
grade_2_ratio,0.05532015961412274,0.03610146409004664
grade_3_ratio,0.03246218909716853,0.025149726184541147
grade_4_ratio,0.023066651818521067,0.023942838399237727
grade_m1_ratio,0.3715776700776221,0.11523955850091587
N_MSTTR,0.6144559906807797,0.10772160148530921
V_HDD,0.4877338628838883,0.26331978763596003
lemma_MATTR,0.7477989539765414,0.04464180409575192
2-gram_NDW,240.76372514294388,99.40983628391706
NN_repRatio,0.24108640034647125,0.049863716586515144
word_sentLenAvg,13.89388657227189,10.221218600539991
2-gram_RTTR,5.112838154397531,1.0547620984531703
adjacent_sentence_overlap_function_lemmas,87.46635126246015,43.61459014470201
char_paraLenAvg,590.9026716591611,252.46500213993463
avgSentSimilarity,0.22646375758467144,0.10004351548919807
topicConsistency,0.5299032383747406,0.09654302477593557
text_dalechall,5.749066911615657,1.2494286811023572
text_oridx,25730.466925110934,10297.195304643623
